host_id	isolate_id
black2015_9_lineage1.2.2.2_strain1	ERR985421
cox2021_5812906022165160734_lineage1.2.2.2_strain1	ERR6052078
nimmo2020_K0084_lineage1.2.2.1_strain1	SRR9971083
nimmo2020_P0163_lineage1.2.2.2_strain1	SRR10315601
shanmugam2021_P02_lineage1.2.2.2_strain1	SRR11348193
walker2013_P000009_lineage1.2.2.1_strain1	ERR046848
walker2013_P000062_lineage1.2.2.1_strain1	ERR038258
walker2013_P000064_lineage1.2.2.1_strain1	ERR046844
walker2013_P000219_lineage1.2.2.2_strain1	ERR046880
walker2018b_1012082_lineage1.2.2.1_strain1	ERR2516802
walker2018b_1546342_lineage1.2.1.2.1_strain1	ERR2516789
walker2018b_RIVM_214_lineage1.2.2.2_strain1	ERR2517185
black2015_9_lineage1.2.2.2_strain1	ERR985426
cox2021_5812906022165160734_lineage1.2.2.2_strain1	ERR6052088
nimmo2020_K0084_lineage1.2.2.1_strain1	SRR9971118
nimmo2020_P0163_lineage1.2.2.2_strain1	SRR10315602
shanmugam2021_P02_lineage1.2.2.2_strain1	SRR11348204
walker2013_P000009_lineage1.2.2.1_strain1	ERR046898
walker2013_P000062_lineage1.2.2.1_strain1	ERR038259
walker2013_P000064_lineage1.2.2.1_strain1	ERR046893
walker2013_P000219_lineage1.2.2.2_strain1	ERR046881
walker2018b_1012082_lineage1.2.2.1_strain1	ERR2517086
walker2018b_1546342_lineage1.2.1.2.1_strain1	ERR2516892
walker2018b_RIVM_214_lineage1.2.2.2_strain1	ERR2517195
cox2021_-283408574231326336_lineage1.2.2.2_strain1	ERR6361972
cox2021_-5382999238453530645_lineage1.2.2.2_strain1	ERR6361967
guerra2014_KPS_47_lineage1.2.2.2_strain1	ERR736807
guerra2014_KPS_9_lineage1.2.2.2_strain1	ERR212054
nimmo2020_H0048_lineage1.2.2.2_strain1	SRR10315712
nimmo2020_H0113_lineage1.2.2.2_strain1	SRR10315739
nimmo2020_H0173_lineage1.2.2.2_strain1	SRR10315643
nimmo2020_H0179_lineage1.2.2.1_strain1	SRR10315632
nimmo2020_K0035_lineage1.2.2.2_strain1	SRR10315459
nimmo2020_P0096_lineage1.2.2.2_strain1	SRR10315613
nimmo2020_R0015_lineage1.2.2.1_strain1	SRR10315571
shanmugam2021_P29_lineage1.2.2.2_strain1	SRR11348163
UNKNOWN8770_lineage1.2.2.2_strain1	ERR4553423
UNKNOWN8772_lineage1.2.2.2_strain1	ERR4553425
UNKNOWN8778_lineage1.2.2.2_strain1	ERR4553433
UNKNOWN8829_lineage1.2.2.2_strain1	ERR4553496
UNKNOWN8833_lineage1.2.2.2_strain1	ERR4553501
UNKNOWN8848_lineage1.2.2_strain1	ERR4553518
UNKNOWN8853_lineage1.2.2.2_strain1	ERR4553525
UNKNOWN8855_lineage1.2.2.2_strain1	ERR4553527
UNKNOWN8875_lineage1.2.2.2_strain1	ERR4553550
UNKNOWN8878_lineage1.2.2.2_strain1	ERR4553553
UNKNOWN8880_lineage1.2.2.2_strain1	ERR4553555
UNKNOWN8883_lineage1.2.2.2_strain1	ERR4553558
UNKNOWN8900_lineage1.2.2.2_strain1	ERR4553581
UNKNOWN8901_lineage1.2.2.2_strain1	ERR4553582
UNKNOWN8903_lineage1.2.2.2_strain1	ERR4553584
UNKNOWN8913_lineage1.2.2.2_strain1	ERR4553597
UNKNOWN8951_lineage1.2.2.2_strain1	ERR4553643
UNKNOWN9004_lineage1.2.2.2_strain1	ERR4553706
UNKNOWN9009_lineage1.2.2.2_strain1	ERR4553711
UNKNOWN9023_lineage1.2.2.2_strain1	ERR4553726
UNKNOWN9029_lineage1.2.2.2_strain1	ERR4553732
UNKNOWN9046_lineage1.2.2.2_strain1	ERR4553751
UNKNOWN9049_lineage1.2.2.2_strain1	ERR4553754
UNKNOWN9056_lineage1.2.2.2_strain1	ERR4553761
UNKNOWN9065_lineage1.2.2.2_strain1	ERR4553771
UNKNOWN9066_lineage1.2.2.2_strain1	ERR4553772
UNKNOWN9074_lineage1.2.2.2_strain1	ERR4553781
UNKNOWN9081_lineage1.2.2.2_strain1	ERR4553788
UNKNOWN9082_lineage1.2.2.2_strain1	ERR4553789
UNKNOWN9085_lineage1.2.2.2_strain1	ERR4553792
UNKNOWN9105_lineage1.2.2.2_strain1	ERR4553814
UNKNOWN9148_lineage1.2.2.2_strain1	ERR4553861
UNKNOWN9149_lineage1.2.2.2_strain1	ERR4553862
walker2013_P000207_lineage1.2.2.2_strain1	ERR046823
walker2013_P000208_lineage1.2.2.2_strain1	ERR046824
walker2013_P000209_lineage1.2.2.2_strain1	ERR046945
walker2013_P000210_lineage1.2.2.2_strain1	ERR046850
walker2018b_ 642142_lineage1.2.2.1_strain1	ERR2516896
walker2018b_ 883340_lineage1.2.2.1_strain1	ERR2516751
walker2018b_ 900371_lineage1.2.2.2_strain1	ERR2516929
walker2018b_ 903149_lineage1.2.2.2_strain1	ERR2517066
walker2018b_ 931437_lineage1.2.2.2_strain1	ERR2516912
walker2018b_ 941317_lineage1.2.2.2_strain1	ERR2517078
walker2018b_ 990891_lineage1.2.2.2_strain1	ERR2516828
walker2018b_06TB_0346_lineage1.2.2.2_strain1	ERR2510787
walker2018b_06TB_0347_lineage1.2.1.2_strain1	ERR2510788
walker2018b_06TB_0368_lineage1.2.1.2.1_strain1	ERR2510809
walker2018b_1050126_lineage1.2.1.2_strain1	ERR2517121
walker2018b_1077688_lineage1.2.2.2_strain1	ERR2517082
walker2018b_1107124_lineage1.2.1.2_strain1	ERR2516771
walker2018b_1138717_lineage1.2.2.2_strain1	ERR2516819
walker2018b_1278678_lineage1.2.1.1_strain1	ERR2517031
walker2018b_1279338_lineage1.2.1.2.1_strain1	ERR2517104
walker2018b_1283310_lineage1.2.1.2.1_strain1	ERR2517124
walker2018b_1443889_lineage1.2.1.2.1_strain1	ERR2516753
walker2018b_1579565_lineage1.2.2.1_strain1	ERR2516948
walker2018b_RIVM_125_lineage1.2.1.2.1_strain1	ERR2517313
walker2018b_RIVM_128_lineage1.2.1.2.1_strain1	ERR2517270
walker2018b_RIVM_13_lineage1.2.1.1_strain1	ERR2517237
walker2018b_RIVM_141_lineage1.2.1.2.1_strain1	ERR2517295
walker2018b_RIVM_144_lineage1.2.1.1_strain1	ERR2517163
walker2018b_RIVM_171_lineage1.2.1.1_strain1	ERR2517440
walker2018b_RIVM_219_lineage1.2.2.2_strain1	ERR2517250
walker2018b_RIVM_241_lineage1.2.1.2.1_strain1	ERR2517454
walker2018b_RIVM_245_lineage1.2.2.2_strain1	ERR2517410
walker2018b_RIVM_246_lineage1.2.1.2_strain1	ERR2517226
walker2018b_RIVM_257_lineage1.2.1.2.1_strain1	ERR2517415
walker2018b_RIVM_264_lineage1.2.1.2.1_strain1	ERR2517546
walker2018b_RIVM_267_lineage1.2.1.2.1_strain1	ERR2517293
walker2018b_RIVM_335_lineage1.2.1.2.1_strain1	ERR2517405
walker2018b_RIVM_354_lineage1.2.1.2.1_strain1	ERR2517604
walker2018b_RIVM_363_lineage1.2.2.1_strain1	ERR2517381
walker2018b_RIVM_445_lineage1.2.1.2.1_strain1	ERR2517395
walker2018b_RIVM_472_lineage1.2.1.1_strain1	ERR2517196
walker2018b_RIVM_493_lineage1.2.2.2_strain1	ERR2517239
walker2018b_RIVM_502_lineage1.2.1.1_strain1	ERR2517306
walker2018b_RIVM_509_lineage1.2.1.1_strain1	ERR2517641
walker2018b_RIVM_527_lineage1.2.1.2.1_strain1	ERR2517183
walker2018b_RIVM_53_lineage1.2.1.2.1_strain1	ERR2517281
walker2018b_RIVM_540_lineage1.2.1.1_strain1	ERR2517538
walker2018b_RIVM_541_lineage1.2.1.1_strain1	ERR2517328
walker2018b_RIVM_557_lineage1.2.1.2.1_strain1	ERR2517566
walker2018b_RIVM_569_lineage1.2.1.1_strain1	ERR2517297
walker2018b_RIVM_6_lineage1.2.1.2.1_strain1	ERR2517469
walker2018b_RIVM_82_lineage1.2.2.1_strain1	ERR2517374
walker2018b_RIVM_99_lineage1.2.1.2.1_strain1	ERR2517542
walker2018b_RLH_0058-15R_lineage1.2.2.2_strain1	ERR2510255
walker2018b_SZH_0021-14_lineage1.2.2.2_strain1	ERR2510448
walker2018b_SZH_0037-14_lineage1.2.2.2_strain1	ERR2510512
