host_id	isolate_id
guerra2014_KPS_28_lineage1.1.3.2_strain1	ERR161063
guerra2014_KPS_66_lineage1.1.2_strain1	ERR161106
shanmugam2021_P01_lineage1.1.2_strain1	SRR11348215
shanmugam2021_P07_lineage1.1.2_strain1	SRR11348211
shanmugam2021_P08_lineage1.1.2_strain1	SRR11348209
shanmugam2021_P09_lineage1.1.2_strain1	SRR11348207
shanmugam2021_P11_lineage1.1.2_strain1	SRR11348202
shanmugam2021_P15_lineage1.1.2_strain1	SRR11348194
shanmugam2021_P16_lineage1.1.2_strain1	SRR11348191
shanmugam2021_P18_lineage1.1.2_strain1	SRR11348187
shanmugam2021_P30_lineage1.1.2_strain1	SRR11348161
shanmugam2021_P34_lineage1.1.2_strain1	SRR11348152
shanmugam2021_P41_lineage1.1.2_strain1	SRR11348139
walker2013_P000033_lineage1.1.2_strain1	ERR046832
walker2013_P000056_lineage1.1.2_strain1	ERR046905
walker2013_P000056_lineage1.1.2_strain1	ERR046907
walker2013_P000180_lineage1.1.2_strain1	ERR046855
walker2013_P000202_lineage1.1.2_strain1	ERR046849
walker2013_P000268_lineage1.1.2_strain1	ERR047001
walker2018b_ 890166_lineage1.1.3.1_strain1	ERR2516763
walker2018b_ 890166_lineage1.1.3.1_strain1	ERR2516833
walker2018b_ 976009_lineage1.1.2_strain1	ERR2516941
walker2018b_1336836_lineage1.1.2_strain1	ERR2516986
guerra2014_KPS_28_lineage1.1.3.2_strain1	ERR181910
guerra2014_KPS_66_lineage1.1.2_strain1	ERR181971
shanmugam2021_P01_lineage1.1.2_strain1	SRR11348216
shanmugam2021_P07_lineage1.1.2_strain1	SRR11348212
shanmugam2021_P08_lineage1.1.2_strain1	SRR11348210
shanmugam2021_P09_lineage1.1.2_strain1	SRR11348208
shanmugam2021_P11_lineage1.1.2_strain1	SRR11348203
shanmugam2021_P15_lineage1.1.2_strain1	SRR11348195
shanmugam2021_P16_lineage1.1.2_strain1	SRR11348192
shanmugam2021_P18_lineage1.1.2_strain1	SRR11348188
