DRR019435,Drug-resistance,Other
DRR019436,Drug-resistance,Other
DRR019437,Drug-resistance,RR-TB
DRR019438,Drug-resistance,Other
DRR019439,Drug-resistance,Other
DRR019440,Drug-resistance,Other
DRR019441,Drug-resistance,Other
DRR019442,Drug-resistance,Other
DRR019443,Drug-resistance,Other
DRR019444,Drug-resistance,Other
ERR023728,Drug-resistance,Sensitive
ERR023729,Drug-resistance,Sensitive
ERR023730,Drug-resistance,Sensitive
ERR023731,Drug-resistance,Sensitive
ERR023732,Drug-resistance,Sensitive
ERR023733,Drug-resistance,Sensitive
ERR023734,Drug-resistance,Sensitive
ERR023735,Drug-resistance,Sensitive
ERR023736,Drug-resistance,Sensitive
ERR023737,Drug-resistance,Sensitive
ERR023738,Drug-resistance,Sensitive
ERR023739,Drug-resistance,Sensitive
ERR023740,Drug-resistance,Sensitive
ERR023741,Drug-resistance,HR-TB
ERR023742,Drug-resistance,Sensitive
ERR023743,Drug-resistance,Sensitive
ERR023744,Drug-resistance,Sensitive
ERR023745,Drug-resistance,Sensitive
ERR023746,Drug-resistance,HR-TB
ERR023747,Drug-resistance,HR-TB
ERR023748,Drug-resistance,HR-TB
ERR023749,Drug-resistance,Sensitive
ERR023750,Drug-resistance,Sensitive
ERR023751,Drug-resistance,Sensitive
ERR023752,Drug-resistance,Sensitive
ERR023753,Drug-resistance,Sensitive
ERR023754,Drug-resistance,Sensitive
ERR023755,Drug-resistance,Sensitive
ERR023756,Drug-resistance,Sensitive
ERR023757,Drug-resistance,Sensitive
ERR023758,Drug-resistance,Sensitive
ERR023759,Drug-resistance,Sensitive
ERR023760,Drug-resistance,Sensitive
ERR023761,Drug-resistance,Sensitive
ERR023762,Drug-resistance,Sensitive
ERR023763,Drug-resistance,Sensitive
ERR023764,Drug-resistance,Sensitive
ERR024336,Drug-resistance,Sensitive
ERR024337,Drug-resistance,Sensitive
ERR024338,Drug-resistance,Sensitive
ERR024339,Drug-resistance,Sensitive
ERR024340,Drug-resistance,Sensitive
ERR024341,Drug-resistance,Sensitive
ERR024342,Drug-resistance,HR-TB
ERR024343,Drug-resistance,HR-TB
ERR024344,Drug-resistance,Sensitive
ERR024345,Drug-resistance,Sensitive
ERR024346,Drug-resistance,Sensitive
ERR024347,Drug-resistance,Sensitive
ERR024348,Drug-resistance,Other
ERR024349,Drug-resistance,Sensitive
ERR024350,Drug-resistance,MDR-TB
ERR024351,Drug-resistance,MDR-TB
ERR024352,Drug-resistance,Sensitive
ERR024353,Drug-resistance,Sensitive
ERR024354,Drug-resistance,Sensitive
ERR024355,Drug-resistance,Sensitive
ERR024356,Drug-resistance,HR-TB
ERR024357,Drug-resistance,HR-TB
ERR024358,Drug-resistance,Sensitive
ERR024359,Drug-resistance,Sensitive
ERR025413,Drug-resistance,Sensitive
ERR025414,Drug-resistance,Sensitive
ERR025415,Drug-resistance,Sensitive
ERR025416,Drug-resistance,Sensitive
ERR025417,Drug-resistance,Sensitive
ERR025418,Drug-resistance,Sensitive
ERR025419,Drug-resistance,Sensitive
ERR025420,Drug-resistance,Sensitive
ERR025421,Drug-resistance,Sensitive
ERR025422,Drug-resistance,Sensitive
ERR025423,Drug-resistance,Sensitive
ERR025424,Drug-resistance,Sensitive
ERR025425,Drug-resistance,Other
ERR025426,Drug-resistance,Other
ERR025427,Drug-resistance,Sensitive
ERR025428,Drug-resistance,Sensitive
ERR025429,Drug-resistance,Other
ERR025430,Drug-resistance,Other
ERR025431,Drug-resistance,HR-TB
ERR025432,Drug-resistance,Sensitive
ERR025433,Drug-resistance,Sensitive
ERR025434,Drug-resistance,Sensitive
ERR025435,Drug-resistance,Sensitive
ERR025436,Drug-resistance,Sensitive
ERR025437,Drug-resistance,Other
ERR025438,Drug-resistance,Sensitive
ERR025439,Drug-resistance,HR-TB
ERR025440,Drug-resistance,Sensitive
ERR025441,Drug-resistance,Sensitive
ERR025442,Drug-resistance,Sensitive
ERR025443,Drug-resistance,Sensitive
ERR025444,Drug-resistance,Sensitive
ERR025445,Drug-resistance,Sensitive
ERR025446,Drug-resistance,Sensitive
ERR025447,Drug-resistance,Sensitive
ERR025448,Drug-resistance,Sensitive
ERR025449,Drug-resistance,Sensitive
ERR025450,Drug-resistance,Sensitive
ERR025451,Drug-resistance,Sensitive
ERR025452,Drug-resistance,Sensitive
ERR025453,Drug-resistance,Sensitive
ERR025454,Drug-resistance,Sensitive
ERR025455,Drug-resistance,Sensitive
ERR025456,Drug-resistance,Sensitive
ERR025457,Drug-resistance,Sensitive
ERR025458,Drug-resistance,Sensitive
ERR025459,Drug-resistance,Sensitive
ERR025460,Drug-resistance,Sensitive
ERR025832,Drug-resistance,Sensitive
ERR025833,Drug-resistance,Sensitive
ERR025834,Drug-resistance,Sensitive
ERR025835,Drug-resistance,Sensitive
ERR025836,Drug-resistance,Sensitive
ERR025837,Drug-resistance,Sensitive
ERR025838,Drug-resistance,Sensitive
ERR025839,Drug-resistance,Sensitive
ERR025840,Drug-resistance,Sensitive
ERR025841,Drug-resistance,Other
ERR025842,Drug-resistance,Sensitive
ERR025843,Drug-resistance,Sensitive
ERR025844,Drug-resistance,Sensitive
ERR025845,Drug-resistance,MDR-TB
ERR025846,Drug-resistance,Sensitive
ERR025847,Drug-resistance,Sensitive
ERR025848,Drug-resistance,Sensitive
ERR026471,Drug-resistance,HR-TB
ERR026472,Drug-resistance,Sensitive
ERR026473,Drug-resistance,Sensitive
ERR026474,Drug-resistance,Sensitive
ERR026475,Drug-resistance,Sensitive
ERR026476,Drug-resistance,HR-TB
ERR026477,Drug-resistance,Other
ERR026478,Drug-resistance,Sensitive
ERR026479,Drug-resistance,Sensitive
ERR026480,Drug-resistance,Sensitive
ERR026481,Drug-resistance,Sensitive
ERR026482,Drug-resistance,Sensitive
ERR028606,Drug-resistance,Other
ERR028607,Drug-resistance,Pre-XDR-TB
ERR028608,Drug-resistance,Other
ERR028609,Drug-resistance,HR-TB
ERR028610,Drug-resistance,Sensitive
ERR028611,Drug-resistance,Other
ERR028612,Drug-resistance,Other
ERR028613,Drug-resistance,Other
ERR028614,Drug-resistance,Other
ERR028615,Drug-resistance,Sensitive
ERR028616,Drug-resistance,Sensitive
ERR028617,Drug-resistance,Sensitive
ERR028618,Drug-resistance,MDR-TB
ERR028619,Drug-resistance,MDR-TB
ERR028620,Drug-resistance,Sensitive
ERR028621,Drug-resistance,HR-TB
ERR028622,Drug-resistance,Sensitive
ERR028623,Drug-resistance,HR-TB
ERR028624,Drug-resistance,Sensitive
ERR028625,Drug-resistance,Sensitive
ERR028626,Drug-resistance,Sensitive
ERR028627,Drug-resistance,Sensitive
ERR028628,Drug-resistance,Sensitive
ERR028629,Drug-resistance,Sensitive
ERR029200,Drug-resistance,MDR-TB
ERR029201,Drug-resistance,Sensitive
ERR029202,Drug-resistance,Sensitive
ERR029203,Drug-resistance,Sensitive
ERR029204,Drug-resistance,HR-TB
ERR029205,Drug-resistance,Other
ERR029206,Drug-resistance,Sensitive
ERR029207,Drug-resistance,Sensitive
ERR029208,Drug-resistance,Sensitive
ERR029209,Drug-resistance,MDR-TB
ERR029210,Drug-resistance,MDR-TB
